id,zip_code,country,state,city,created_at,updated_at
301,500016,India,Andhra Pradesh,Hyderabad,,
302,500003,India,Andhra Pradesh,Hyderabad,,
303,505528,India,Andhra Pradesh,Karimnagar,,
304,504324,India,Andhra Pradesh,Adilabad,,
305,518462,India,Andhra Pradesh,Kurnool,,
306,522411,India,Andhra Pradesh,Guntur,,
307,504251,India,Andhra Pradesh,Adilabad,,
308,504251,India,Andhra Pradesh,Adilabad,,
309,504251,India,Andhra Pradesh,Adilabad,,
310,500049,India,Andhra Pradesh,Hyderabad,,
311,515741,India,Andhra Pradesh,Anantapur,,
312,534001,India,Andhra Pradesh,West Godavari,,
313,533409,India,Andhra Pradesh,West Godavari,,
314,533210,India,Andhra Pradesh,East Godavari,,
315,524126,India,Andhra Pradesh,Nellore,,
316,520002,India,Andhra Pradesh,Krishna,,
317,518599,India,Andhra Pradesh,Kurnool,,
318,522279,India,Andhra Pradesh,Guntur,,
319,521301,India,Andhra Pradesh,Krishna,,
320,507111,India,Andhra Pradesh,Bhadrachalam,,
321,534251,India,Andhra Pradesh,West Godavari,,
322,504001,India,Andhra Pradesh,Adilabad,,
323,518004,India,Andhra Pradesh,Kurnool,,
324,504103,India,Andhra Pradesh,Bhainsa,,
325,507101,India,Andhra Pradesh,Khammam,,
326,517501,India,Andhra Pradesh,Chittoor,,
327,530012,India,Andhra Pradesh,Vishakhapatnam,,
328,502103,India,Andhra Pradesh,Medak,,
329,518301,India,Andhra Pradesh,Kurnool,,
330,533003,India,Andhra Pradesh,East Godavari,,
331,521001,India,Andhra Pradesh,Krishna,,
332,521140,India,Andhra Pradesh,Krishna,,
333,522256,India,Andhra Pradesh,Guntur,,
334,521118,India,Andhra Pradesh,Krishna,,
335,521231,India,Andhra Pradesh,Krishna,,
336,500002,India,Andhra Pradesh,Hyderabad,,
337,503115,India,Andhra Pradesh,Nizamabad,,
338,531241,India,Andhra Pradesh,Vizianagaram,,
339,533514,India,Andhra Pradesh,East Godavari,,
340,531163,India,Andhra Pradesh,Vishakhapatnam,,
341,504204,India,Andhra Pradesh,Adilabad,,
342,505471,India,Andhra Pradesh,Karimnagar,,
343,503101,India,Andhra Pradesh,Nizamabad,,
344,503307,India,Andhra Pradesh,Nizamabad,,
345,517106,India,Andhra Pradesh,Chittoor,,
346,534201,India,Andhra Pradesh,West Godavari,,
347,534301,India,Andhra Pradesh,West Godavari,,
348,534203,India,Andhra Pradesh,West Godavari,,
349,533410,India,Andhra Pradesh,East Godavari,,
350,534301,India,Andhra Pradesh,West Godavari,,
351,503307,India,Andhra Pradesh,Nizamabad,,
352,505101,India,Andhra Pradesh,Kurnool,,
353,531216,India,Andhra Pradesh,Vizianagaram,,
354,508116,India,Andhra Pradesh,Nalgonda,,
355,500003,India,Andhra Pradesh,Hyderabad,,
356,500003,India,Andhra Pradesh,Hyderabad,,
357,508116,India,Andhra Pradesh,Bhongir,,
358,508116,India,Andhra Pradesh,Nalgonda,,
359,508224,India,Andhra Pradesh,Nalgonda,,
360,504001,India,Andhra Pradesh,Adilabad,,
361,507112,India,Andhra Pradesh,Khammam,,
362,509382,India,Andhra Pradesh,Mahboobnagar,,
363,508126,India,Andhra Pradesh,Nalgonda,,
364,503125,India,Andhra Pradesh,Nizamabad,,
365,533343,India,Andhra Pradesh,East Godavari,,
366,503306,India,Andhra Pradesh,Nizamabad,,
367,505475,India,Andhra Pradesh,Karimnagar,,
368,509203,India,Andhra Pradesh,Mahboobnagar,,
369,505475,India,Andhra Pradesh,Karimnagar,,
370,509145,India,Andhra Pradesh,Mahboobnagar,,
371,523106,India,Andhra Pradesh,Prakasam,,
372,503321,India,Andhra Pradesh,Nizamabad,,
373,524142,India,Andhra Pradesh,Nellore,,
374,524142,India,Andhra Pradesh,Nellore,,
375,504304,India,Andhra Pradesh,Adilabad,,
376,532573,India,Andhra Pradesh,Vizianagaram,,
377,532573,India,Andhra Pradesh,Vizianagaram,,
378,532558,India,Andhra Pradesh,Vizianagaram,,
379,532558,India,Andhra Pradesh,Vizianagaram,,
380,532558,India,Andhra Pradesh,Vizianagaram,,
381,533215,India,Andhra Pradesh,East Godavari,,
382,518146,India,Andhra Pradesh,Kurnool,,
383,503185,India,Andhra Pradesh,Bodhan,,
384,503185,India,Andhra Pradesh,Nizamabad,,
385,522354,India,Andhra Pradesh,Guntur,,
386,522354,India,Andhra Pradesh,Guntur,,
387,524142,India,Andhra Pradesh,Nellore,,
388,516392,India,Andhra Pradesh,Cuddapah,,
389,500010,India,Andhra Pradesh,Hyderabad,,
390,516360,India,Andhra Pradesh,Cuddapah,,
391,518517,India,Andhra Pradesh,Kurnool,,
